"avatarThumbnail","cid","createTime","createTimeISO","diggCount","error","input","likedByAuthor","pinnedByAuthor","repliesToId","replyCommentTotal","submittedVideoUrl","text","uid","uniqueId","url","videoWebUrl"
,,,,,"Post not found or private.",,,,,,,,,," https://www.tiktok.com/@sydneyfields/video/7438674684201176363",
"https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/2570f1d722d3baa3cb0144ff6253d803~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=08ae5121&x-expires=1743397200&x-signature=nUFMBX3gGma6rrEdeiPdfEuKyWc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7437928695480566559","1731777739","2024-11-16T17:22:19.000Z","31",," https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886","true","false",,"2"," https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886","I love your videos because then I start cleaning my house as well","7239060312996086827","alejandranunez169",,"https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886"
"https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/bb97639eccecf27bad751acdb3f404ba~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7fad2270&x-expires=1743397200&x-signature=NdzATYwGDxbX3iKAcViG6Knh%2BN0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7438248771147907883","1731852269","2024-11-17T14:04:29.000Z","6",," https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886","false","false","7437928695480566559",," https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886","Thank you more cleaning videos coming up 🥰","7284091739639333934","lifewith_nicolasa",,"https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886"
"https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7348221660190736426~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=617e558d&x-expires=1743397200&x-signature=KU3rdEyKNoDInVGqLpBa4pelD7I%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7438015208268399406","1731797885","2024-11-16T22:58:05.000Z","5",," https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886","true","false",,"1"," https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886","does this work good on laminated floor ?.","7172702510350713898","zayrasanchez25",,"https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886"
"https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/bb97639eccecf27bad751acdb3f404ba~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7fad2270&x-expires=1743397200&x-signature=NdzATYwGDxbX3iKAcViG6Knh%2BN0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7438248390671385387","1731852190","2024-11-17T14:03:10.000Z","5",," https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886","false","false","7438015208268399406",," https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886","Yes all types of floors I have used on tile and it worked and detects carpet too","7284091739639333934","lifewith_nicolasa",,"https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886"
"https://p16-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/1f5d859824f862e8e7e749ced9cb60bb~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a85ef91b&x-expires=1743397200&x-signature=sI14J485jgpvBiElKs2sgtuv6B8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7438483415316857642","1731906928","2024-11-18T05:15:28.000Z","4",," https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886","false","false",,"0"," https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886","Eufy also makes really good security cameras for your house 😅 I have 5 I might need this new gadget","6851269422272758790","theorangecat25",,"https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886"
"https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/995a4a6b7548c0f058e3838489323235~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a0f5ef61&x-expires=1743397200&x-signature=%2FMEhKYdU4yAi1FAO6qkAg3w22Kw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7438378039719674670","1731882371","2024-11-17T22:26:11.000Z","2",," https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886","false","false",,"1"," https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886","I need this!","7419798646080324651","yourtia5",,"https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/df2bd9467378586659fdaaf3b0cb5d24~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8e5b0825&x-expires=1743397200&x-signature=Kxtp%2BgZUGLlc7gQAXlOd4OLlt3k%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7438931223114547975","1732011151","2024-11-19T10:12:31.000Z","1",," https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886","false","false",,"1"," https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886","Love this","6572108198428753921","heyitsme_ish",,"https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886"
"https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/ea8217cf81b119114257a7f5d6caef2a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=01d6312a&x-expires=1743397200&x-signature=YWrjwZob%2BHPK1YsDqRPq5ygEZIo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7437928318022353707","1731777656","2024-11-16T17:20:56.000Z","3",," https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886","true","false",,"3"," https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886","Need!!!🥰","6992741832731919366","bellakharina",,"https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886"
"https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/bb97639eccecf27bad751acdb3f404ba~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7fad2270&x-expires=1743397200&x-signature=NdzATYwGDxbX3iKAcViG6Knh%2BN0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7438248657721426731","1731852252","2024-11-17T14:04:12.000Z","3",," https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886","false","false","7437928318022353707",," https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886","It makes cleaning more easier and faster while I’m cleaning I just turn it on and let it do it thing","7284091739639333934","lifewith_nicolasa",,"https://www.tiktok.com/@lifewith_nicolasa/video/7437927330896579886"
